date,gold_price,gold_ret,sp500_price,usd_price,rates_price,sp500_ret,usd_ret,rate_ret,sp500_mom_20,usd_mom_20,rate_mom_20,sp500_vol_20,usd_vol_20,gold_vs_sp500,gold_vs_usd,target
2010-02-02,109.12999725341795,0.007198881313165595,1103.3199462890625,79.01000213623047,3.634999990463257,0.01297294837718499,-0.002902520617611204,-0.00519979561512085,-0.026187384002549607,0.01908942835336158,-0.05363188892189741,0.01044704040530898,0.0043894213128185585,-0.005774067064019395,0.010101401930776799,0.015577793644482751
2010-02-03,108.6999969482422,-0.003940257637661482,1097.280029296875,79.37000274658203,3.703000068664551,-0.00547431142933863,0.004556392869485615,0.01870703669317697,-0.034526439974686296,0.022545734837365217,-0.013848214165529948,0.010433645294052841,0.004462853592551485,0.001534053791677148,-0.008496650507147097,0.019411229711038924
2010-02-04,104.37000274658205,-0.03983435439949368,1063.1099853515625,79.91999816894531,3.609999895095825,-0.031140677888039425,0.006929512452196196,-0.025114818213402113,-0.06510194729165553,0.03135888982017798,-0.0519958477101361,0.012310998938265755,0.004591630553301284,-0.008693676511454251,-0.04676386685168987,0.05279289414425503
2010-02-05,104.68000030517578,0.002970178695371306,1066.18994140625,80.44000244140625,3.5460000038146973,0.002897118921960873,0.006506560114799775,-0.01772850225510303,-0.0661300386924708,0.03247334951066505,-0.07221350626893641,0.01227902818485696,0.004645869448830206,7.305977341043324e-05,-0.0035363814194284693,0.04814674150586673
2010-02-08,104.04000091552734,-0.006113864996012963,1056.739990234375,80.30000305175781,3.5920000076293945,-0.00886329049344714,-0.0017404200074511156,0.012972364287989757,-0.07706684111476769,0.03653029284190068,-0.05672270880564689,0.012246475987854765,0.004400314227102525,0.002749425497434177,-0.004373444988561848,0.04257977956740522
2010-02-09,105.41000366210938,0.01316803858637372,1070.52001953125,79.86000061035156,3.632999897003174,0.013040132316577413,-0.00547948225011452,0.011414223075360663,-0.06666198385280642,0.03714286506950071,-0.048454734784939,0.012771130688711206,0.00434664294411149,0.00012790626979630737,0.01864752083648824,0.030262733148527454
2010-02-10,105.12000274658205,-0.002751170718643836,1068.1300048828125,80.02999877929688,3.694000005722046,-0.0022325735201887964,0.002128702324643905,0.01679056164278747,-0.05992674620758209,0.040026016285957144,-0.00672226262110287,0.012693707263897642,0.004307313170207302,-0.0005185971984550397,-0.004879873043287741,0.02692155753156289
2010-02-11,107.12999725341795,0.01912095181048934,1078.469970703125,79.98999786376953,3.7330000400543213,0.009680437561949251,-0.0004998240177118696,0.010557670349719439,-0.058663919992422264,0.040858808744229425,-0.013217010948221475,0.012760797066242864,0.004278953673838716,0.009440514248540088,0.01962077582820121,0.011481409394831
2010-02-12,107.04000091552734,-0.0008400666498452614,1075.510009765625,80.31999969482422,3.693000078201294,-0.002744592819371894,0.004125538690683772,-0.01071523209853631,-0.06351980360928311,0.04678738669136551,-0.010980152578952795,0.012698570335133622,0.004217437916927766,0.0019045261695266325,-0.0049656053405290335,0.03139013996275253
2010-02-16,109.62000274658205,0.02410315591356138,1094.8699951171875,79.69999694824219,3.6640000343322754,0.01800074864554846,-0.007719157730798454,-0.007852705999167875,-0.03623146670265642,0.03078113376631686,-0.0032644405705389845,0.013403799331358249,0.004573005738193,0.0061024072680129215,0.031822313644359834,-0.0002737311434007905
2010-02-17,109.25,-0.0033753214496574646,1099.510009765625,80.37999725341797,3.742000102996826,0.0042379594555796984,0.00853199913693059,0.021288228147837707,-0.04409550399864837,0.03716125488281241,0.009441620088646463,0.013064291994113757,0.0048332197951312245,-0.007613280905237163,-0.011907320586588055,0.00997708318435353
