Date,price,return,log_return,momentum_5,momentum_20,momentum_60,vol_20,vol_60,trend_50,trend_200,zscore_20,target_5d,target_21d,target_63d
2003-05-14,42.875030517578125,0.015324587851334615,0.01520835235804835,0.027472004086692925,0.06575570924032248,0.0690901107781714,0.005317593826764629,0.006531702085997567,1.051751815703123,1.0821540498777895,2.3766785696325683,0.02177939241057736,0.05219009288013843,-0.11287536594375946
2003-05-15,43.00910949707031,0.0031272042928860433,0.003122324759759309,0.028179177770731423,0.06470844930273878,0.06516491870764751,0.005313270069531072,0.006494462092299896,1.054251309844542,1.0846120219412652,2.129714087043593,0.02762320192858625,0.03898016600174903,-0.10693320726803124
2003-05-16,43.323455810546875,0.007308831016321626,0.007282250945165136,0.0346655821657913,0.07078374182733072,0.06932557540003481,0.005378263139196726,0.00653771856265609,1.0609158644630872,1.0916264712242998,2.100571114238959,0.02272795312558329,0.023298086886448077,-0.11395287692577538
2003-05-19,43.175533294677734,-0.003414374802324316,-0.00342021708224934,0.024684225945710736,0.06943641032725223,0.07195034378877785,0.005453840048721948,0.006500962845697601,1.05640810917934,1.0870399234911536,1.6989588709196104,0.007708641483584744,0.01368662015105393,-0.10679695114252641
2003-05-20,43.81343460083008,0.014774601666147191,0.014666520509158605,0.03754695661851648,0.0858550749136382,0.08263898406727899,0.005928188241951943,0.0067193776446093706,1.070897807838916,1.1021938085832212,2.0273060490975294,-0.00865148354493328,-0.0029794272377635656,-0.10623268839152633
2003-05-21,43.80882263183594,-0.00010526380860476081,-0.0001052693492282833,0.02177939241057736,0.08351868878257918,0.07754416213820292,0.0059875531608028,0.006708020740507261,1.0696333627119838,1.1011960796026508,1.7724928469313443,0.000105274890240592,-0.006583642598278372,-0.11094797905299625
2003-05-22,44.19715881347656,0.008864337325477978,0.008825279730798647,0.02762320192858625,0.08338942274874483,0.07958642202046873,0.005982374828217185,0.006739899171332123,1.0778308078633279,1.1099706032227483,1.8406000909086262,-0.01056462875085662,-0.009430330691643896,-0.12087722962673986
2003-05-23,44.308109283447266,0.0025103529943846237,0.0025072073217057944,0.02272795312558329,0.08366620509030231,0.08049036237356333,0.005978648260339961,0.00674155370790869,1.0787896557217016,1.1117663757267844,1.6929560469067004,-0.020291938815878097,-0.002796186517470156,-0.1191692197358526
2003-05-27,43.508358001708984,-0.01804977225776261,-0.018214656492384226,0.007708641483584744,0.06578455059980581,0.0543035731469379,0.007684858503348894,0.007155912653478743,1.0581229827476726,1.090837564277245,0.9344626919606308,0.00571884243109988,-0.0006828311540398868,-0.10997202654343907
2003-05-28,43.434383392333984,-0.0017002390522780075,-0.0017016860991451235,-0.00865148354493328,0.06577337268042771,0.051228211093876874,0.0076852108298501145,0.007163673754608254,1.0549183546908398,1.0882056130439781,0.7892147370575258,0.010424235312943564,-0.012447586141056788,-0.10145043111038465
2003-05-29,43.81343460083008,0.008726984911290314,0.00868912488825345,0.000105274890240592,0.06521852440886988,0.05969754031105867,0.007664367597628077,0.007235237842098734,1.062316990360769,1.0968991358398412,1.0176364331111003,-0.006157366868925873,-0.024487809728308774,-0.11328440583281651
2003-05-30,43.73023223876953,-0.0018990148300076504,-0.0019008202447048784,-0.01056462875085662,0.0626824634401042,0.054182210027239996,0.007726929631381894,0.007238138428186359,1.0583917082801089,1.0940908445834787,0.8563919144151033,-0.0006571223849224372,-0.018067768831794617,-0.10239088566977717
2003-06-02,43.40901184082031,-0.007345499474947559,-0.007372610500485599,-0.020291938815878097,0.06323729692800106,0.05049699014291198,0.007689118213606291,0.007290794410360732,1.0488605040486043,1.0853987107029934,0.4869241222494593,0.013473894784721718,-0.015707489982786482,-0.09790584961683435
2003-06-03,43.75717544555664,0.008020537440774689,0.007988543886833668,0.00571884243109988,0.06609181674867437,0.055298207083951834,0.007753598344416377,0.007342232828517934,1.055051075577453,1.0933505216767658,0.7693118453133879,0.017398182374699367,-0.021089680726017912,-0.11817266995743325
